Site or app,Entity,Platform,App package name or store ID,Issue location,Must fix,Issues,Status,Property codes,Ad requests - last 7 days,Date reported,Last date found
www.ibtimes.sg,Page,N/A,N/A,www.ibtimes.sg/bhad-bhabie-makes-onlyfans-debut-nsfw-video-her-gets-leaked-twitter-video-56557,Yes,Copyrighted material (DMCA),Disabled ad serving,,165,2024-07-23,2024-07-29
www.ibtimes.sg,Page,N/A,N/A,www.ibtimes.sg/lil-baby-ms-londons-alleged-sex-tape-leaked-after-adult-film-star-claims-he-paid-her-sex-54049,Yes,Copyrighted material (DMCA),Disabled ad serving,,102,2024-07-23,2024-07-29
ibtimes.sg,Site,N/A,N/A,ibtimes.sg,Yes,Video audibility misdeclaration,Restricted ad serving,ca-video-pub-2771929648455644,102,2024-07-30,2024-07-30
www.ibtimes.sg,Page,N/A,N/A,www.ibtimes.sg/ana-cheris-hot-twerk-video-cardi-bs-wap-song-leaves-fans-drooling-instagram-51173,Yes,Copyrighted material (DMCA),Disabled ad serving,,24,2024-07-23,2024-07-27
www.ibtimes.sg,Page,N/A,N/A,www.ibtimes.sg/abby-dowse-flashes-assets-scandalous-outfit-leaving-fans-surprised-instagram-photo-43971,Yes,Copyrighted material (DMCA),Disabled ad serving,,14,2024-07-24,2024-07-27
www.ibtimes.co.in,Page,N/A,N/A,www.ibtimes.co.in/ariel-winter-goes-sheer-gives-jimmy-kimmel-peek-into-her-life-boyfriend-levi-meaden-video-726286,Yes,Site Behavior: Navigation,Restricted ad serving,ca-pub-2771929648455644,14,2024-07-23,2024-07-29
www.ibtimes.sg,Page,N/A,N/A,www.ibtimes.sg/hotness-alert-trey-songz-alleged-girlfriend-yasmine-lopez-shares-eye-popping-image-instagram-55808,Yes,Copyrighted material (DMCA),Disabled ad serving,,8,2024-07-27,2024-07-27
www.ibtimes.sg,Page,N/A,N/A,www.ibtimes.sg/ana-cheri-sexy-video-american-onlyfans-model-flaunts-cleavage-hot-instagram-post-55984,Yes,Copyrighted material (DMCA),Disabled ad serving,,8,2024-07-27,2024-07-27
www.ibtimes.sg,Page,N/A,N/A,www.ibtimes.sg/ana-cheri-flaunts-massive-cleavage-floral-dress-hot-photo-instagram-51276,Yes,Copyrighted material (DMCA),Disabled ad serving,,7,2024-07-27,2024-07-27
www.ibtimes.sg,Page,N/A,N/A,www.ibtimes.sg/trey-songz-rumored-girlfriend-yasmine-lopez-goes-topless-valentines-day-shares-intimate-clips-55604,Yes,Copyrighted material (DMCA),Disabled ad serving,,5,2024-07-27,2024-07-27
www.ibtimes.co.in,Page,N/A,N/A,www.ibtimes.co.in/happy-raksha-bandhan-2017-top-10-hindi-songs-download-rakhi-videos-737450,Yes,Encouraging accidental clicks: Layout,Restricted ad serving,ca-pub-2771929648455644,4,2024-07-27,2024-07-27
www.ibtimes.sg,Page,N/A,N/A,www.ibtimes.sg/snaptube-ios-11-11-1-11-2-now-available-download-tutorial-23040,Yes,Enables dishonest behavior,Restricted ad serving,ca-pub-2771929648455644,1,2024-07-29,2024-07-29
www.ibtimes.sg,Page,N/A,N/A,www.ibtimes.sg/joe-bidens-earlobes-spark-wild-conspiracy-theory-that-hes-using-body-double-here-truth-54283,Yes,Unreliable and harmful claims,Disabled ad serving,ca-video-pub-2771929648455644,1,2024-07-29,2024-07-29
